Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1
207.91,0.14,207.91,0.08,207.91,0.14
208.127,0.19,208.127,0.13,208.127,0.17
208.343,0.12,208.343,0.12,208.343,0.18
208.56,0.11,208.56,0.16,208.56,0.18
208.77700000000002,0.08,208.77700000000002,0.11,208.77700000000002,0.13
208.99400000000003,0.08,208.99400000000003,0.09,208.99400000000003,0.11
209.21,0.04,209.21,0.03,209.21,0.08
209.42700000000002,0.08,209.42700000000002,0.02,209.42700000000002,0.1
209.644,0.11,209.644,0.01,209.644,0.1
209.861,0.11,209.861,0.04,209.861,0.11
210.077,0.12,210.077,0.03,210.077,0.12
210.294,0.15,210.294,0.06,210.294,0.14
210.511,0.17,210.511,0.09,210.511,0.12
210.727,0.12,210.727,0.1,210.727,0.12
210.94400000000002,0.14,210.94400000000002,0.1,210.94400000000002,0.14
211.16099999999997,0.11,211.16099999999997,0.09,211.16099999999997,0.11
211.377,0.08,211.377,0.07,211.377,0.09
211.59400000000002,0.07,211.59400000000002,0.06,211.59400000000002,0.11
211.81,0.12,211.81,0.11,211.81,0.15
212.02700000000002,0.11,212.02700000000002,0.09,212.02700000000002,0.14
212.24400000000003,0.16,212.24400000000003,0.12,212.24400000000003,0.17
212.46,0.18,212.46,0.14,212.46,0.2
212.67700000000002,0.18,212.67700000000002,0.13,212.67700000000002,0.19
212.893,0.19,212.893,0.09,212.893,0.21
213.11,0.21,213.11,0.13,213.11,0.24
213.326,0.17,213.326,0.13,213.326,0.18
213.543,0.16,213.543,0.12,213.543,0.2
213.75900000000001,0.16,213.75900000000001,0.13,213.75900000000001,0.17
213.976,0.11,213.976,0.13,213.976,0.12
214.192,0.12,214.192,0.13,214.192,0.12
214.40900000000002,0.11,214.40900000000002,0.13,214.40900000000002,0.15
214.625,0.11,214.625,0.11,214.625,0.15
214.842,0.1,214.842,0.11,214.842,0.12
215.058,0.1,215.058,0.12,215.058,0.14
215.275,0.09,215.275,0.11,215.275,0.13
215.49099999999999,0.08,215.49099999999999,0.08,215.49099999999999,0.1
215.707,0.08,215.707,0.1,215.707,0.07
215.924,0.06,215.924,0.09,215.924,0.07
216.14,0.09,216.14,0.05,216.14,0.07
216.357,0.11,216.357,0.06,216.357,0.06
216.57299999999998,0.16,216.57299999999998,0.09,216.57299999999998,0.11
