Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1
213.326,0.15,213.326,0.17,213.326,0.12
213.543,0.13,213.543,0.1,213.543,0.12
213.75900000000001,0.11,213.75900000000001,0.03,213.75900000000001,0.07
213.976,0.13,213.976,0.01,213.976,0.07
214.192,0.12,214.192,0.04,214.192,0.08
214.40900000000002,0.12,214.40900000000002,0.06,214.40900000000002,0.12
214.625,0.18,214.625,0.12,214.625,0.14
214.842,0.18,214.842,0.18,214.842,0.17
215.058,0.21,215.058,0.21,215.058,0.16
215.275,0.2,215.275,0.17,215.275,0.15
215.49099999999999,0.24,215.49099999999999,0.15,215.49099999999999,0.12
215.707,0.22,215.707,0.13,215.707,0.13
215.924,0.28,215.924,0.1,215.924,0.09
216.14,0.27,216.14,0.12,216.14,0.14
216.357,0.25,216.357,0.11,216.357,0.13
216.57299999999998,0.23,216.57299999999998,0.1,216.57299999999998,0.14
216.78900000000002,0.18,216.78900000000002,0.07,216.78900000000002,0.09
217.00599999999997,0.17,217.00599999999997,0.08,217.00599999999997,0.13
217.222,0.15,217.222,0.06,217.222,0.08
217.438,0.14,217.438,0.07,217.438,0.07
217.655,0.12,217.655,0.09,217.655,0.07
217.87099999999998,0.12,217.87099999999998,0.06,217.87099999999998,0.06
218.08700000000002,0.11,218.08700000000002,0.07,218.08700000000002,0.08
218.304,0.13,218.304,0.12,218.304,0.12
218.52,0.12,218.52,0.12,218.52,0.14
218.736,0.11,218.736,0.11,218.736,0.18
218.952,0.11,218.952,0.12,218.952,0.16
219.169,0.08,219.169,0.11,219.169,0.17
219.385,0.08,219.385,0.07,219.385,0.15
219.601,0.12,219.601,0.1,219.601,0.16
219.817,0.14,219.817,0.11,219.817,0.12
220.033,0.16,220.033,0.17,220.033,0.15
220.25,0.16,220.25,0.15,220.25,0.14
220.46599999999998,0.18,220.46599999999998,0.13,220.46599999999998,0.14
220.68200000000002,0.14,220.68200000000002,0.1,220.68200000000002,0.11
220.898,0.14,220.898,0.09,220.898,0.13
221.114,0.12,221.114,0.04,221.114,0.14
221.33,0.15,221.33,0.07,221.33,0.13
221.546,0.14,221.546,0.12,221.546,0.15
221.763,0.17,221.763,0.13,221.763,0.18
221.979,0.16,221.979,0.11,221.979,0.15
222.195,0.19,222.195,0.13,222.195,0.13
222.41099999999997,0.16,222.41099999999997,0.09,222.41099999999997,0.1
222.627,0.19,222.627,0.08,222.627,0.08
222.843,0.14,222.843,0.1,222.843,0.05
223.05900000000003,0.19,223.05900000000003,0.12,223.05900000000003,0.07
223.275,0.19,223.275,0.12,223.275,0.13
223.49099999999999,0.22,223.49099999999999,0.13,223.49099999999999,0.18
223.707,0.18,223.707,0.08,223.707,0.18
223.923,0.21,223.923,0.08,223.923,0.21
224.139,0.22,224.139,0.07,224.139,0.21
224.355,0.18,224.355,0.06,224.355,0.18
224.571,0.15,224.571,0.05,224.571,0.14
224.787,0.15,224.787,0.07,224.787,0.09
225.003,0.12,225.003,0.03,225.003,0.05
225.21900000000002,0.05,225.21900000000002,0.0,225.21900000000002,0.03
225.435,0.07,225.435,0.05,225.435,0.07
