Absorbance:209,
412.889,0.02
413.094,0.02
413.3,0.02
413.505,0.03
413.711,0.03
413.916,0.03
414.122,0.03
414.327,0.03
414.532,0.03
414.738,0.03
414.943,0.03
415.149,0.03
415.354,0.03
415.559,0.03
415.765,0.03
415.97,0.03
416.175,0.03
416.381,0.03
416.586,0.03
416.791,0.02
416.997,0.02
417.202,0.02
417.407,0.02
417.612,0.02
417.818,0.02
418.023,0.02
418.228,0.02
418.433,0.02
418.638,0.02
418.844,0.02
419.049,0.02
419.254,0.02
419.459,0.02
419.664,0.03
419.869,0.03
420.074,0.03
420.279,0.03
420.484,0.03
420.69,0.03
420.895,0.03
421.1,0.03
421.305,0.02
421.51,0.02
421.715,0.02
421.92,0.02
422.125,0.02
422.329,0.03
422.534,0.03
422.739,0.03
422.944,0.03
423.149,0.03
423.354,0.03
423.559,0.03
423.764,0.03
423.969,0.03
424.173,0.03
424.378,0.03
424.583,0.03
424.788,0.03
424.993,0.03
425.197,0.02
425.402,0.02
425.607,0.02
425.812,0.02
426.016,0.03
426.221,0.03
426.426,0.03
426.631,0.03
426.835,0.03
427.04,0.03
427.244,0.02
427.449,0.03
427.654,0.03
427.858,0.03
428.063,0.02
428.268,0.03
428.472,0.03
428.677,0.03
428.881,0.02
429.086,0.02
429.29,0.02
429.495,0.02
429.699,0.02
429.904,0.02
430.108,0.02
430.313,0.02
430.517,0.02
430.722,0.02
430.926,0.02
431.13,0.02
431.335,0.02
431.539,0.02
431.743,0.03
431.948,0.03
432.152,0.03
432.356,0.03
432.561,0.03
432.765,0.03
432.969,0.03
433.174,0.03
433.378,0.03
433.582,0.03
433.786,0.03
433.991,0.03
434.195,0.02
434.399,0.03
434.603,0.03
434.807,0.03
435.012,0.02
435.216,0.03
435.42,0.03
435.624,0.03
435.828,0.03
436.032,0.03
436.236,0.03
436.44,0.02
436.644,0.02
436.848,0.02
437.052,0.02
437.256,0.03
437.46,0.03
437.664,0.03
437.868,0.03
438.072,0.03
438.276,0.03
438.48,0.03
438.684,0.03
438.888,0.03
439.092,0.03
439.296,0.03
439.5,0.03
439.704,0.03
439.908,0.03
440.111,0.03
440.315,0.03
440.519,0.03
440.723,0.03
440.927,0.03
441.13,0.03
441.334,0.03
441.538,0.03
441.742,0.03
441.945,0.03
442.149,0.02
442.353,0.02
442.556,0.02
442.76,0.02
442.964,0.02
443.167,0.02
443.371,0.02
443.575,0.02
443.778,0.02
443.982,0.02
444.185,0.02
444.389,0.03
444.593,0.03
444.796,0.03
445,0.03
445.203,0.03
445.407,0.03
445.61,0.03
445.814,0.03
446.017,0.03
446.221,0.03
446.424,0.03
446.627,0.03
446.831,0.03
447.034,0.02
447.238,0.02
447.441,0.02
447.644,0.02
447.848,0.03
448.051,0.03
448.254,0.03
448.458,0.03
448.661,0.03
448.864,0.03
449.067,0.03
449.271,0.03
449.474,0.03
449.677,0.03
449.88,0.03
450.084,0.03
450.287,0.03
450.49,0.03
450.693,0.03
450.896,0.03
451.099,0.03
451.303,0.03
451.506,0.02
451.709,0.03
451.912,0.03
452.115,0.03
452.318,0.03
452.521,0.03
452.724,0.03
452.927,0.02
453.13,0.03
453.333,0.03
453.536,0.03
453.739,0.03
453.942,0.03
454.145,0.03
454.348,0.03
454.551,0.03
454.754,0.03
454.957,0.02
455.16,0.02
455.362,0.02
455.565,0.02
455.768,0.02
455.971,0.02
456.174,0.02
456.377,0.02
456.579,0.02
456.782,0.02
456.985,0.02
457.188,0.02
457.39,0.02
457.593,0.02
457.796,0.02
457.998,0.02
458.201,0.03
458.404,0.03
458.606,0.03
458.809,0.03
459.012,0.02
459.214,0.02
459.417,0.03
459.62,0.02
459.822,0.02
460.025,0.02
460.227,0.02
460.43,0.02
460.632,0.02
460.835,0.02
461.037,0.02
461.24,0.02
461.442,0.02
461.645,0.02
461.847,0.03
462.05,0.03
462.252,0.03
462.454,0.03
462.657,0.03
462.859,0.03
463.062,0.03
463.264,0.03
463.466,0.02
463.669,0.02
463.871,0.02
464.073,0.02
464.276,0.02
464.478,0.02
464.68,0.02
464.882,0.02
465.085,0.02
465.287,0.02
465.489,0.02
465.691,0.02
465.893,0.02
466.096,0.02
466.298,0.02
466.5,0.02
466.702,0.02
466.904,0.03
467.106,0.03
467.308,0.03
467.51,0.03
467.713,0.03
467.915,0.03
468.117,0.03
468.319,0.02
468.521,0.02
468.723,0.02
468.925,0.02
469.127,0.02
469.329,0.03
469.531,0.03
469.732,0.03
469.934,0.03
470.136,0.03
470.338,0.03
470.54,0.03
470.742,0.03
470.944,0.02
471.146,0.02
471.348,0.03
471.549,0.03
471.751,0.03
471.953,0.03
472.155,0.02
472.356,0.02
472.558,0.02
472.76,0.02
472.962,0.02
473.163,0.03
473.365,0.03
473.567,0.02
473.768,0.02
473.97,0.02
474.172,0.02
474.373,0.02
474.575,0.02
474.777,0.02
474.978,0.02
475.18,0.02
475.381,0.02
475.583,0.02
475.784,0.02
475.986,0.02
476.187,0.03
476.389,0.03
476.59,0.03
476.792,0.03
476.993,0.03
477.195,0.03
477.396,0.03
477.598,0.02
477.799,0.02
478.001,0.03
478.202,0.03
478.403,0.03
478.605,0.03
478.806,0.03
479.007,0.03
479.209,0.03
479.41,0.03
479.611,0.02
479.812,0.02
480.014,0.02
480.215,0.02
480.416,0.02
480.617,0.02
480.819,0.02
481.02,0.03
481.221,0.02
481.422,0.02
481.623,0.02
481.825,0.02
482.026,0.02
482.227,0.02
482.428,0.02
482.629,0.02
482.83,0.02
483.031,0.02
483.232,0.03
483.433,0.03
483.634,0.03
483.835,0.02
484.036,0.02
484.237,0.02
484.438,0.02
484.639,0.02
484.84,0.02
485.041,0.02
485.242,0.02
485.443,0.02
485.644,0.02
485.845,0.02
486.045,0.02
486.246,0.02
486.447,0.02
486.648,0.02
486.849,0.02
487.05,0.02
487.25,0.02
487.451,0.02
487.652,0.02
487.853,0.02
488.053,0.02
488.254,0.02
488.455,0.02
488.655,0.03
488.856,0.03
489.057,0.03
489.257,0.02
489.458,0.02
489.659,0.02
489.859,0.02
490.06,0.02
490.26,0.02
490.461,0.02
490.662,0.03
490.862,0.02
491.063,0.02
491.263,0.02
491.464,0.02
491.664,0.02
491.865,0.02
492.065,0.02
492.266,0.02
492.466,0.02
492.666,0.02
492.867,0.02
493.067,0.02
493.268,0.02
493.468,0.02
493.668,0.02
493.869,0.02
494.069,0.02
494.269,0.02
494.47,0.02
494.67,0.02
494.87,0.02
495.07,0.02
495.271,0.02
495.471,0.02
495.671,0.02
495.871,0.02
496.072,0.02
496.272,0.02
496.472,0.02
496.672,0.02
496.872,0.02
497.072,0.02
497.272,0.02
497.472,0.02
497.673,0.02
497.873,0.02
498.073,0.02
498.273,0.02
498.473,0.02
498.673,0.02
498.873,0.02
499.073,0.02
499.273,0.02
499.473,0.02
499.673,0.02
499.873,0.02
500.073,0.02
500.272,0.02
500.472,0.02
500.672,0.02
500.872,0.02
501.072,0.02
501.272,0.02
501.472,0.02
501.671,0.02
501.871,0.02
502.071,0.02
502.271,0.02
502.471,0.02
502.67,0.02
502.87,0.03
503.07,0.03
503.27,0.03
503.469,0.03
503.669,0.03
503.869,0.02
504.068,0.02
504.268,0.02
504.467,0.02
504.667,0.02
504.867,0.02
505.066,0.02
505.266,0.02
505.465,0.02
505.665,0.03
505.864,0.02
506.064,0.03
506.263,0.03
506.463,0.03
506.662,0.03
506.862,0.03
507.061,0.03
507.261,0.02
507.46,0.02
507.66,0.02
507.859,0.03
508.058,0.03
508.258,0.03
508.457,0.03
508.657,0.03
508.856,0.03
509.055,0.02
509.254,0.03
509.454,0.03
509.653,0.03
509.852,0.03
510.052,0.03
510.251,0.02
510.45,0.02
510.649,0.02
510.848,0.02
511.048,0.03
511.247,0.03
511.446,0.03
511.645,0.03
511.844,0.03
512.043,0.03
512.242,0.03
512.441,0.03
512.64,0.03
512.84,0.03
513.039,0.03
513.238,0.03
513.437,0.02
513.636,0.02
513.835,0.02
514.034,0.03
514.233,0.03
514.432,0.03
514.63,0.03
514.829,0.02
515.028,0.02
515.227,0.02
515.426,0.03
515.625,0.02
515.824,0.02
516.023,0.02
516.221,0.02
516.42,0.02
516.619,0.02
516.818,0.02
517.017,0.02
517.215,0.02
517.414,0.02
517.613,0.02
517.812,0.02
518.01,0.02
518.209,0.02
518.408,0.02
518.606,0.02
518.805,0.02
519.004,0.02
519.202,0.02
519.401,0.02
519.599,0.02
519.798,0.02
519.997,0.02
520.195,0.02
520.394,0.02
520.592,0.02
520.791,0.02
520.989,0.02
521.188,0.02
521.386,0.02
521.585,0.02
521.783,0.02
521.981,0.02
522.18,0.02
522.378,0.02
522.577,0.02
522.775,0.02
522.973,0.02
523.172,0.02
523.37,0.02
523.568,0.02
523.767,0.02
523.965,0.02
524.163,0.02
524.361,0.02
524.56,0.02
524.758,0.02
524.956,0.02
525.154,0.02
525.353,0.02
525.551,0.02
525.749,0.02
525.947,0.02
526.145,0.02
526.343,0.02
526.541,0.02
526.74,0.02
526.938,0.02
527.136,0.02
527.334,0.02
527.532,0.02
527.73,0.02
527.928,0.02
528.126,0.02
528.324,0.02
528.522,0.02
528.72,0.02
528.918,0.02
529.116,0.02
529.314,0.02
529.512,0.02
529.709,0.02
529.907,0.02
530.105,0.02
530.303,0.02
530.501,0.02
530.699,0.02
530.896,0.02
531.094,0.02
531.292,0.02
531.49,0.02
531.688,0.02
531.885,0.02
532.083,0.02
532.281,0.02
532.478,0.02
532.676,0.02
532.874,0.02
533.071,0.02
533.269,0.02
533.467,0.02
533.664,0.02
533.862,0.02
534.06,0.02
534.257,0.02
534.455,0.02
534.652,0.02
534.85,0.02
535.047,0.02
535.245,0.02
535.442,0.02
535.64,0.02
535.837,0.02
536.035,0.02
536.232,0.02
536.43,0.02
536.627,0.02
536.824,0.02
537.022,0.02
537.219,0.02
537.416,0.02
537.614,0.02
537.811,0.02
538.008,0.02
538.206,0.02
538.403,0.02
538.6,0.02
538.798,0.02
538.995,0.02
539.192,0.02
539.389,0.02
539.586,0.02
539.784,0.02
539.981,0.02
540.178,0.02
540.375,0.02
540.572,0.02
540.769,0.02
540.966,0.02
