Absorbance:209,
334.108,0.02
334.318,0.02
334.528,0.02
334.738,0.02
334.948,0.02
335.158,0.02
335.368,0.02
335.578,0.01
335.788,0.02
335.998,0.02
336.209,0.01
336.419,0.01
336.629,0.01
336.839,0.01
337.049,0.01
337.259,0.01
337.469,0.01
337.679,0.02
337.888,0.02
338.098,0.02
338.308,0.02
338.518,0.02
338.728,0.02
338.938,0.02
339.148,0.02
339.358,0.02
339.568,0.02
339.777,0.02
339.987,0.02
340.197,0.02
340.407,0.02
340.617,0.02
340.826,0.02
341.036,0.02
341.246,0.02
341.456,0.02
341.666,0.02
341.875,0.02
342.085,0.02
342.295,0.02
342.504,0.02
342.714,0.02
342.924,0.02
343.133,0.02
343.343,0.02
343.553,0.02
343.762,0.02
343.972,0.02
344.181,0.02
344.391,0.02
344.601,0.02
344.81,0.02
345.02,0.02
345.229,0.02
345.439,0.02
345.648,0.02
345.858,0.02
346.067,0.02
346.277,0.02
346.486,0.02
346.696,0.02
346.905,0.02
347.114,0.02
347.324,0.02
347.533,0.01
347.743,0.01
347.952,0.02
348.161,0.02
348.371,0.02
348.58,0.02
348.789,0.02
348.999,0.01
349.208,0.01
349.417,0.01
349.627,0.01
349.836,0.01
350.045,0.02
350.254,0.02
350.464,0.02
350.673,0.01
350.882,0.02
351.091,0.01
351.3,0.01
351.51,0.01
351.719,0.01
351.928,0.01
352.137,0.01
352.346,0.01
352.555,0.01
352.764,0.01
352.973,0.01
353.183,0.01
353.392,0.02
353.601,0.02
353.81,0.02
354.019,0.02
354.228,0.02
354.437,0.02
354.646,0.01
354.855,0.02
355.064,0.02
355.273,0.01
355.482,0.02
355.691,0.02
355.899,0.01
356.108,0.01
356.317,0.01
356.526,0.02
356.735,0.01
356.944,0.02
357.153,0.02
357.362,0.02
357.57,0.01
357.779,0.02
357.988,0.02
358.197,0.02
358.406,0.02
358.614,0.02
358.823,0.02
359.032,0.02
359.241,0.02
359.449,0.02
359.658,0.02
359.867,0.02
360.075,0.02
360.284,0.02
360.493,0.02
360.701,0.02
360.91,0.02
361.119,0.02
361.327,0.02
361.536,0.02
361.744,0.02
361.953,0.02
362.161,0.02
362.37,0.02
362.579,0.02
362.787,0.02
362.996,0.02
363.204,0.02
363.413,0.02
363.621,0.02
363.83,0.02
364.038,0.02
364.246,0.01
364.455,0.01
364.663,0.02
364.872,0.02
365.08,0.02
365.288,0.02
365.497,0.02
365.705,0.02
365.913,0.02
366.122,0.01
366.33,0.02
366.538,0.02
366.747,0.01
366.955,0.01
367.163,0.02
367.372,0.01
367.58,0.01
367.788,0.01
367.996,0.01
368.204,0.01
368.413,0.01
368.621,0.01
368.829,0.01
369.037,0.01
369.245,0.01
369.453,0.01
369.662,0.02
369.87,0.01
370.078,0.01
370.286,0.01
370.494,0.01
370.702,0.01
370.91,0.01
371.118,0.02
371.326,0.02
371.534,0.01
371.742,0.01
371.95,0.01
372.158,0.01
372.366,0.01
372.574,0.01
372.782,0.02
