Absorbance:209,
386.893,0.03
387.1,0.03
387.307,0.03
387.514,0.03
387.721,0.03
387.928,0.03
388.135,0.03
388.342,0.03
388.549,0.03
388.756,0.03
388.963,0.03
389.17,0.03
389.377,0.03
389.584,0.03
389.791,0.03
389.998,0.03
390.205,0.03
390.412,0.03
390.619,0.03
390.826,0.03
391.032,0.03
391.239,0.03
391.446,0.03
391.653,0.03
391.86,0.03
392.067,0.03
392.273,0.03
392.48,0.03
392.687,0.03
392.894,0.03
393.1,0.03
393.307,0.03
393.514,0.03
393.72,0.03
393.927,0.03
394.134,0.03
394.34,0.03
394.547,0.03
394.754,0.03
394.96,0.03
395.167,0.03
395.374,0.03
395.58,0.03
395.787,0.03
395.993,0.03
396.2,0.03
396.406,0.03
396.613,0.03
396.819,0.03
397.026,0.03
397.232,0.03
397.439,0.03
397.645,0.03
397.852,0.03
398.058,0.03
398.265,0.03
398.471,0.03
398.677,0.03
398.884,0.03
399.09,0.03
399.297,0.03
399.503,0.03
399.709,0.03
399.916,0.03
400.122,0.03
400.328,0.03
400.534,0.03
400.741,0.03
400.947,0.03
401.153,0.03
401.359,0.03
401.566,0.03
401.772,0.03
401.978,0.03
402.184,0.03
402.39,0.03
402.597,0.03
402.803,0.03
403.009,0.03
403.215,0.03
403.421,0.03
403.627,0.03
403.833,0.03
404.039,0.03
404.245,0.03
404.452,0.03
404.658,0.03
404.864,0.03
405.07,0.03
405.276,0.03
405.482,0.03
405.688,0.03
405.893,0.03
406.099,0.03
406.305,0.03
406.511,0.03
406.717,0.03
406.923,0.03
407.129,0.03
407.335,0.03
407.541,0.03
407.747,0.03
407.952,0.03
408.158,0.03
408.364,0.03
408.57,0.03
408.776,0.03
408.981,0.03
409.187,0.03
409.393,0.03
409.599,0.03
409.804,0.03
410.01,0.03
410.216,0.03
410.421,0.03
410.627,0.03
410.833,0.03
411.038,0.03
411.244,0.03
411.45,0.03
411.655,0.03
411.861,0.03
412.066,0.03
412.272,0.03
412.478,0.03
412.683,0.03
412.889,0.03
413.094,0.03
413.3,0.03
413.505,0.03
413.711,0.03
413.916,0.03
414.122,0.03
414.327,0.03
414.532,0.03
414.738,0.03
414.943,0.03
415.149,0.03
415.354,0.03
415.559,0.03
415.765,0.03
415.97,0.03
416.175,0.03
416.381,0.03
416.586,0.03
416.791,0.03
416.997,0.03
417.202,0.03
417.407,0.03
417.612,0.03
417.818,0.03
418.023,0.03
418.228,0.03
418.433,0.03
418.638,0.03
418.844,0.03
419.049,0.03
419.254,0.03
419.459,0.03
419.664,0.03
419.869,0.03
420.074,0.03
420.279,0.03
420.484,0.03
420.69,0.03
420.895,0.03
421.1,0.03
421.305,0.03
421.51,0.03
421.715,0.03
421.92,0.03
422.125,0.03
422.329,0.03
422.534,0.03
422.739,0.03
422.944,0.03
423.149,0.03
423.354,0.03
423.559,0.03
423.764,0.03
423.969,0.03
424.173,0.03
424.378,0.03
424.583,0.03
424.788,0.03
424.993,0.03
425.197,0.03
425.402,0.03
425.607,0.03
425.812,0.03
426.016,0.03
426.221,0.03
426.426,0.03
426.631,0.03
426.835,0.03
427.04,0.03
427.244,0.03
427.449,0.03
427.654,0.03
427.858,0.03
428.063,0.03
428.268,0.03
428.472,0.03
428.677,0.03
428.881,0.03
429.086,0.03
429.29,0.03
429.495,0.03
429.699,0.03
429.904,0.03
430.108,0.03
430.313,0.03
430.517,0.03
430.722,0.03
430.926,0.03
431.13,0.03
431.335,0.03
431.539,0.03
431.743,0.03
431.948,0.03
432.152,0.03
432.356,0.03
432.561,0.03
432.765,0.03
432.969,0.03
433.174,0.03
433.378,0.03
433.582,0.03
433.786,0.03
433.991,0.03
434.195,0.03
434.399,0.03
434.603,0.03
434.807,0.03
435.012,0.03
435.216,0.03
435.42,0.03
435.624,0.03
435.828,0.03
436.032,0.03
436.236,0.03
436.44,0.03
436.644,0.03
436.848,0.03
437.052,0.03
437.256,0.03
437.46,0.03
437.664,0.03
437.868,0.03
438.072,0.03
438.276,0.03
438.48,0.03
438.684,0.03
438.888,0.03
439.092,0.03
439.296,0.03
439.5,0.03
439.704,0.03
439.908,0.03
440.111,0.03
440.315,0.03
440.519,0.03
440.723,0.03
440.927,0.03
441.13,0.03
441.334,0.03
441.538,0.03
441.742,0.03
441.945,0.03
442.149,0.03
442.353,0.03
442.556,0.03
442.76,0.03
442.964,0.03
443.167,0.03
443.371,0.03
443.575,0.03
443.778,0.03
443.982,0.03
444.185,0.03
444.389,0.03
444.593,0.03
444.796,0.03
445,0.03
445.203,0.03
445.407,0.03
445.61,0.03
445.814,0.03
446.017,0.03
446.221,0.03
446.424,0.03
446.627,0.03
446.831,0.03
447.034,0.03
447.238,0.03
447.441,0.03
447.644,0.03
447.848,0.03
448.051,0.03
448.254,0.03
448.458,0.03
448.661,0.03
448.864,0.03
449.067,0.03
449.271,0.03
449.474,0.03
449.677,0.03
449.88,0.03
450.084,0.03
450.287,0.03
450.49,0.03
450.693,0.03
450.896,0.03
451.099,0.03
451.303,0.03
451.506,0.03
